ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2011,0,28.3,0.2,7,13.7
ALB,Albania,2011,0,0.4,0,0,2.8
DZA,Algeria,2011,0,2.8,0,0.2,3
AND,Andorra,2011,0,0,0,0,0.4
AGO,Angola,2011,5,59.5,20.2,1,16.6
ATG,Antigua & Barbuda,2011,0.2,0,0,0,0.8
ARG,Argentina,2011,0,0.4,0,0,2.1
ARM,Armenia,2011,0,0.4,0,0,3
AUS,Australia,2011,0,0,0,0,0.6
AUT,Austria,2011,0,0,0,0,0.2
AZE,Azerbaijan,2011,0.2,4.6,0,0,4
BHS,Bahamas,2011,0.2,0.2,0,0,2.6
BHR,Bahrain,2011,0,0,0,0,1
BGD,Bangladesh,2011,0,7.1,0.4,3,5.8
BRB,Barbados,2011,0,0,0,0,1.8
BLR,Belarus,2011,0,0,0,0,1
BEL,Belgium,2011,0,0,0,0,0.8
BLZ,Belize,2011,1,2.4,0,0,1.6
BEN,Benin,2011,2.8,25.8,28.6,3,11.4
BTN,Bhutan,2011,1,5.3,0,0.2,5.4
BOL,Bolivia,2011,0.4,6.4,0,0,6.4
BIH,Bosnia and Herzegovina,2011,0,0,0,0.2,0.5
BWA,Botswana,2011,11,7.4,0,1.6,5.4
BRA,Brazil,2011,0,0.6,0,0,1.5
BRN,Brunei,2011,0,0,0,0,0.8
BGR,Bulgaria,2011,0,0.2,0,0,1.2
BFA,Burkina Faso,2011,1.8,15.8,71.8,5,7.8
BDI,Burundi,2011,3,22,12.8,0.4,12
KHM,Cambodia,2011,6.5,15.9,48.2,2.2,7.3
CMR,Cameroon,2011,0.6,3,0.2,0.4,2.4
CAN,Canada,2011,0.6,6.2,0.4,0.8,5.8
CPV,Cape Verde,2011,9.8,25.6,20.6,0.8,11.8
CAF,Central African Republic,2011,0,0,0,0,0.6
TCD,Chad,2011,11.6,31.6,56.2,12.4,10.6
CHL,Chile,2011,7.8,47.8,18.8,3.4,15.6
CHN,China,2011,0,0,0,0,0.9
COL,Colombia,2011,0,0.9,0,0,4.6
COM,Comoros,2011,0,0.8,0,0,2.5
COG,Congo,2011,0.4,15.6,9.2,0,8.6
COD,Congo DR,2011,7,9.4,6.8,2,6.5
COK,Cook Islands,2011,0,0.2,0,0,1.5
CRI,Costa Rica,2011,0,0.2,0,0,0.8
CIV,Cote d Ivoire,2011,0,0,0,0,0.2
