ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2012,0,26.6,0,6.8,13.4
ALB,Albania,2012,0,0.4,0,0,2.6
DZA,Algeria,2012,0,2.7,0,0.2,3.1
AND,Andorra,2012,0,0,0,0,0.4
AGO,Angola,2012,5.1,55.8,19.8,2.2,16.5
ATG,Antigua & Barbuda,2012,0.4,0,0,0,0.8
ARG,Argentina,2012,0,0.4,0,0,2.3
ARM,Armenia,2012,0,0.4,0,0,2.8
AUS,Australia,2012,0,0,0,0,0.6
AUT,Austria,2012,0,0,0,0,0.6
AZE,Azerbaijan,2012,0.2,4.3,0,0,4
BHS,Bahamas,2012,0.4,0.2,0,0,2.6
BHR,Bahrain,2012,0,0,0,0,0.8
BGD,Bangladesh,2012,0,6.3,0.4,1.4,5.3
BRB,Barbados,2012,0,0,0,0,2.4
BLR,Belarus,2012,0,0,0,0,0.8
BEL,Belgium,2012,0,0,0,0,1
BLZ,Belize,2012,0,1,0,0,2.8
BEN,Benin,2012,2.6,25.1,27,1.2,11.6
BTN,Bhutan,2012,1.2,5.4,0,0.2,5.6
BOL,Bolivia,2012,0.2,5.8,0,0,6.1
BIH,Bosnia and Herzegovina,2012,0,0,0,0.2,0.4
BWA,Botswana,2012,8.8,6.6,0,1.2,5.7
BRA,Brazil,2012,0,0.6,0,0,1.6
BRN,Brunei,2012,0,0,0,0,1
BGR,Bulgaria,2012,0,0.4,0,0,1.4
BFA,Burkina Faso,2012,1.6,16,57.4,30.6,8.4
BDI,Burundi,2012,2.4,22.5,12.8,0.4,13
KHM,Cambodia,2012,5.8,15.8,41.4,0.6,7.6
CMR,Cameroon,2012,0.6,2.8,0,0.4,2.4
CAN,Canada,2012,0.6,5.3,0.4,0.2,5.3
CPV,Cape Verde,2012,9.1,25.5,19.6,1,12.4
CAF,Central African Republic,2012,0,0,0,0,0.6
TCD,Chad,2012,10.2,31,50.2,2.8,11
CHL,Chile,2012,7.1,45.7,18.4,2,15.6
CHN,China,2012,0,0,0,0,1.1
COL,Colombia,2012,0,0.8,0,0,4.4
COM,Comoros,2012,0,0.6,0,0,2.2
COG,Congo,2012,1.6,13.7,13,0,8
COD,Congo DR,2012,6.6,8.6,6,1.8,6.3
