ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2003,0,41.4,0.6,0.4,13.6
ALB,Albania,2003,0,1,0,0,4
DZA,Algeria,2003,0,5.4,0,8.4,4
AND,Andorra,2003,0,0,0,0,0.8
AGO,Angola,2003,4.8,75.2,52.2,4.4,14.2
ATG,Antigua & Barbuda,2003,0,0,0,0,1
ARG,Argentina,2003,0,0.6,0,0,2.6
ARM,Armenia,2003,0.2,1.4,0,0,4.8
AUS,Australia,2003,0,0,0,0,1.2
AUT,Austria,2003,0,0,0,0,1
AZE,Azerbaijan,2003,0.2,11.9,0,0.6,6.4
BHS,Bahamas,2003,0.2,0.4,0,0,2.4
BHR,Bahrain,2003,0,0,0,0,1.4
BGD,Bangladesh,2003,0,14.8,2.6,5.6,7.4
BRB,Barbados,2003,0.8,0,0,0,3.4
BLR,Belarus,2003,0,0.2,0,0,1.6
BEL,Belgium,2003,0,0.2,0,0,1
BLZ,Belize,2003,3,3,0,0,5
BEN,Benin,2003,4.2,33.1,43.8,4,9.9
BTN,Bhutan,2003,0.4,15,0.4,0.6,9
BOL,Bolivia,2003,0.4,17.6,0,0,9
BIH,Bosnia and Herzegovina,2003,0,0.2,0,0.2,0.8
BWA,Botswana,2003,63.8,8.6,0.2,1.8,4
BRA,Brazil,2003,0.2,3.4,0,0,2.5
BRN,Brunei,2003,0,0,0,0,0.8
BGR,Bulgaria,2003,0,0.4,0,0,1.7
BFA,Burkina Faso,2003,5.7,31.6,127,17.4,8
BDI,Burundi,2003,10.2,35.5,43.2,0.2,11.4
KHM,Cambodia,2003,13.4,16.8,95.6,10.4,5.2
CMR,Cameroon,2003,1.8,4.6,0.2,4.4,2.1
CAN,Canada,2003,3.8,19,4.8,0.8,9.2
CPV,Cape Verde,2003,15.4,33.2,58.2,0.4,9.6
CAF,Central African Republic,2003,0,0,0,0,0.8
TCD,Chad,2003,25.6,33.2,96,14.2,7.6
CHL,Chile,2003,10.3,64.2,23.8,19.4,14.2
CHN,China,2003,0,0.2,0,0,1.3
COL,Colombia,2003,0,2.4,0,0.2,6.8
COM,Comoros,2003,0.2,2.8,0.2,0,3.2
COG,Congo,2003,0,22.9,15.2,0,8.8
COD,Congo DR,2003,13.7,24.9,30.4,15,8.6
COK,Cook Islands,2003,0,0.4,0,0,1.8
CRI,Costa Rica,2003,0,0.6,0,0,1.4
CIV,Cote d Ivoire,2003,0,0,0,0,1
HRV,Croatia,2003,0,0.2,0,0,1.5
CUB,Cuba,2003,0,0,0,0,0.8
CYP,Cyprus,2003,0,0,0,0,1
CZE,Czech Republic,2003,0,6.7,0,0,4.7
DNK,Denmark,2003,4.4,24.8,89.4,23.2,6.9
DJI,Djibouti,2003,0,0,0,0,0.6
DMA,Dominica,2003,8.3,20,1.4,3,8
DOM,Dominican Republic,2003,0,0,0,0,1.1
ECU,Ecuador,2003,4.6,4.4,0,0,4.1
EGY,Egypt,2003,0.6,4.2,0,0,4.1
SLV,El Salvador,2003,0,5.6,0,0.2,3.6
GNQ,Equatorial Guinea,2003,0.6,4.8,0,0,3.4
ERI,Eritrea,2003,7.2,27.8,66,23.2,8.4
EST,Estonia,2003,3.7,18.4,0.4,7.6,9.2
ETH,Ethiopia,2003,0,0.2,0,0,2.8
FSM,Federated States of Micronesia,2003,8.7,32.6,11.8,12,10.8
FJI,Fiji,2003,0,1.8,0,2,3.8
FIN,Finland,2003,0,0,0,0,0.8
FRA,France,2003,0,0.2,0,0,0.8
GAB,Gabon,2003,22,12.8,9.2,28.8,5.4
GMB,Gambia,2003,5.4,28.8,11.6,3.2,10.5
GEO,Georgia,2003,0.2,1.8,0,0,4.9
DEU,Germany,2003,0,0,0,0,0.6
GHA,Ghana,2003,6.7,15.6,36.6,0.2,6.8
GRC,Greece,2003,0,0,0,0,0.6
GRD,Grenada,2003,0,0,0,0,2.8
GTM,Guatemala,2003,0.8,10,0,0,6.6
GIN,Guinea,2003,5.8,33.6,68.8,15.6,9.4
GNB,Guinea-Bissau,2003,9.1,47,24,94.2,11.8
GUY,Guyana,2003,4.2,8.4,3.6,0,4.4
HTI,Haiti,2003,9.1,28.9,1.2,0,11.3
HND,Honduras,2003,2.8,5.8,0,0,1.9
HUN,Hungary,2003,0,0,0,0,1
ISL,Iceland,2003,0,0,0,0,0.4
IND,India,2003,0.6,20.2,0.6,6.2,5.2
IDN,Indonesia,2003,0.2,8.8,0.6,6.4,5.9
IRN,Iran,2003,0,3.9,0,0.2,3.2
IRQ,Iraq,2003,0,7,0,0.4,5.2
IRL,Ireland,2003,0,0,0,0,0.6
ISR,Israel,2003,0,0,0,0,0.8
ITA,Italy,2003,0,0,0,0,0.4
JAM,Jamaica,2003,4.6,0.4,0,0,1.2
JPN,Japan,2003,0,0,0,0,0.9
JOR,Jordan,2003,0,1.8,0,0,4.4
KAZ,Kazakhstan,2003,0.2,6,0,0,4.6
KEN,Kenya,2003,28.9,20.9,12,0,8.8
KIR,Kiribati,2003,0,16.7,0,1.2,8.4
PRK,North Korea,2003,0,0.2,0,0,1.6
KOR,South Korea,2003,0,7.2,0,0,5.8
KWT,Kuwait,2003,0.2,32,0.8,22.4,12.4
KGZ,Kyrgyzstan,2003,0,0.2,0,0,3.4
LAO,Lao,2003,0,1.4,0,0,2.4
LVA,Latvia,2003,67.6,26.8,0,0.8,8.9
LBN,Lebanon,2003,6.3,31.3,77.6,10.6,8.4
LSO,Lesotho,2003,0,1.4,0,0,5.6
LBR,Liberia,2003,0,0,0,0,3.1
LBY,Libya,2003,0,0.2,0,0,0.6
LTU,Lithuania,2003,1.3,25.2,11.2,16.8,10.4
LUX,Luxembourg,2003,48.3,32.8,34.6,2.4,10.2
MKD,Macedonia,2003,0.2,0.4,0,0,1.1
MDG,Madagascar,2003,0,2.4,0,0.4,2.9
MWI,Malawi,2003,4.3,51.2,91.2,2.2,10.8
MYS,Malaysia,2003,0,0,0,0,0.6
MDV,Maldives,2003,0,8.2,0,2.6,5.2
MLI,Mali,2003,2.6,30,8.4,14.8,10
MLT,Malta,2003,0,0.6,0,0,2
MHL,Marshall Islands,2003,0.2,3.2,0,0,4.4
MRT,Mauritania,2003,0,10,0,0.6,6.2
MUS,Mauritius,2003,0,0,0,0,1.1
MEX,Mexico,2003,0,10.1,0,0.6,6.4
MDA,Moldova,2003,0,0.2,0,0,0.6
MCO,Monaco,2003,0.2,7,0,0.2,4.5
MNG,Mongolia,2003,30.6,29.4,67.8,14.2,8.1
MNE,Montenegro,2003,1,16,1.8,2.8,8.6
MAR,Morocco,2003,49.3,13.6,2.2,1.4,6.4
MOZ,Mozambique,2003,0,6.6,0,0,4.4
MMR,Myanmar,2003,0.2,13.3,0,20,7.2
NAM,Namibia,2003,0,0,0,0,0.6
NRU,Nauru,2003,0,0,0,0,1.5
NPL,Nepal,2003,0.6,9.4,0,0,2.7
NLD,Netherlands,2003,3.2,71.2,43.8,47,15
NZL,New Zealand,2003,10.8,43.4,68.8,54.6,10.6
NIC,Nicaragua,2003,0,2.4,0,0,9.2
NER,Niger,2003,0,0,0,0,0.7
NGA,Nigeria,2003,0.2,0.4,0,0,2.3
NIU,Niue,2003,0,25,0.6,2.2,11.2
NOR,Norway,2003,0,0.6,0,0,6
