ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2009,0,31.5,0,8,13.9
ALB,Albania,2009,0,0.4,0,0,3
DZA,Algeria,2009,0,3.2,0,0.2,3.2
AND,Andorra,2009,0,0,0,0,0.4
AGO,Angola,2009,5,66.4,23.4,2,16.6
ATG,Antigua & Barbuda,2009,0.2,0,0,0,1.8
ARG,Argentina,2009,0,0.4,0,0,2
ARM,Armenia,2009,0.2,0.6,0,0,3.6
AUS,Australia,2009,0,0,0,0,0.8
AUT,Austria,2009,0,0,0,0,0.5
AZE,Azerbaijan,2009,0.2,5.4,0,0,4.4
BHS,Bahamas,2009,0.2,0,0,0,1.9
BHR,Bahrain,2009,0,0,0,0,1.4
BGD,Bangladesh,2009,0,9,0.4,1.8,6.4
BRB,Barbados,2009,0,0,0,0,0.4
BLR,Belarus,2009,0,0.2,0,0,1.2
BEL,Belgium,2009,0,0,0,0,1
BLZ,Belize,2009,0.6,1.2,0,0,4
BEN,Benin,2009,3.2,26.7,34.4,5.2,10.8
BTN,Bhutan,2009,0.8,6.6,0.2,0,6
BOL,Bolivia,2009,0.4,7.8,0,0,6.8
BIH,Bosnia and Herzegovina,2009,0,0,0,0.2,0.6
BWA,Botswana,2009,18,7.6,0,1.6,5
BRA,Brazil,2009,0,1,0,0,1.8
BRN,Brunei,2009,0,0,0,0,0.8
BGR,Bulgaria,2009,0,0.2,0,0,1.2
BFA,Burkina Faso,2009,2.2,17,94.8,56.6,7.2
BDI,Burundi,2009,4.8,25,16,0.8,12.1
KHM,Cambodia,2009,7.3,15.6,64.8,0.6,6.6
CMR,Cameroon,2009,0.8,3.2,0.2,1.4,2.7
CAN,Canada,2009,1.1,7.5,0.8,3.4,6.1
CPV,Cape Verde,2009,12.7,27.2,28.2,0.8,11.2
CAF,Central African Republic,2009,0,0,0,0,0.6
TCD,Chad,2009,14.7,31.9,73.2,0.4,9.6
CHL,Chile,2009,8.8,52.6,20.2,0.4,15.4
CHN,China,2009,0,0,0,0,1.1
COL,Colombia,2009,0,1.1,0,0.2,5
COM,Comoros,2009,0,1.2,0,0,2.7
COG,Congo,2009,0,16.8,12.6,0,8.4
