ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
ISR,Israel,2000,1.7,0.8,0.0,0.0,0.0,6.4,0.3,27.9
ITA,Italy,2000,1.9,0.0,0.0,0.3,0.0,4.2,0.6,16.0
JAM,Jamaica,2000,5.4,1.4,0.0,9.8,0.0,2.7,0.4,11.2
JPN,Japan,2000,6.7,0.6,0.0,0.0,0.2,12.3,1.1,20.8
JOR,Jordan,2000,11.7,4.8,0.0,0.0,0.0,8.6,0.7,13.4
KAZ,Kazakhstan,2000,18.1,10.0,0.0,0.1,0.0,6.2,1.9,14.5
KEN,Kenya,2000,17.3,11.8,7.2,17.1,1.3,4.2,2.8,9.6
KIR,Kiribati,2000,20.3,12.6,0.0,0.0,0.0,5.6,3.1,16.0
PRK,North Korea,2000,19.3,11.8,0.0,0.0,0.0,5.9,3.5,16.1
KOR,South Korea,2000,5.7,0.9,0.0,0.0,0.4,16.8,1.6,19.3
KWT,Kuwait,2000,6.1,0.4,0.0,0.0,0.0,6.9,0.8,11.8
KGZ,Kyrgyzstan,2000,18.4,10.0,0.0,0.1,0.0,6.4,3.1,14.5
LAO,Lao,2000,22.2,16.0,1.3,0.0,6.3,5.2,3.4,10.9
LVA,Latvia,2000,4.6,0.0,0.0,0.0,0.0,11.7,1.4,11.7
LBN,Lebanon,2000,10.7,4.2,0.0,0.1,0.7,8.8,0.7,13.6
LSO,Lesotho,2000,15.7,10.8,0.0,25.3,0.9,3.4,2.4,9.4
LBR,Liberia,2000,11.7,10.7,25.8,1.5,16.4,2.1,3.1,6.7
LBY,Libya,2000,11.0,2.9,0.0,0.0,0.0,10.2,0.8,17.1
LTU,Lithuania,2000,8.9,0.3,0.0,0.0,0.0,16.7,2.3,10.4
LUX,Luxembourg,2000,0.0,0.0,0.0,0.0,0.0,14.9,7.0,23.1
MKD,Macedonia,2000,8.1,8.7,0.0,0.0,0.0,2.9,0.9,13.8
