ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2003,0,39,0.2,0.6,13.5
ALB,Albania,2003,0,1,0,0,3.9
DZA,Algeria,2003,0,4.9,0,0.2,3.7
AND,Andorra,2003,0,0,0,0,0.8
AGO,Angola,2003,5,72.8,49.2,0,14.3
ATG,Antigua & Barbuda,2003,0,0,0,0,1
ARG,Argentina,2003,0,0.6,0,0,2.6
ARM,Armenia,2003,0.2,1.2,0,0,4.6
AUS,Australia,2003,0,0,0,0,1
AUT,Austria,2003,0,0,0,0,0.4
AZE,Azerbaijan,2003,0.2,10.2,0,0.2,6
BHS,Bahamas,2003,0.2,0.2,0,0,2.2
BHR,Bahrain,2003,0,0.2,0,0,1.4
BGD,Bangladesh,2003,0,13.8,0.6,11.6,7.4
BRB,Barbados,2003,0.5,0.4,0,0,3.2
BLR,Belarus,2003,0,0.2,0,0,1.6
BEL,Belgium,2003,0,0.2,0,0,0.9
BLZ,Belize,2003,1.6,2.6,0,0,3.8
BEN,Benin,2003,4.2,30.6,44.4,0.8,9.7
BTN,Bhutan,2003,0.6,13.2,0.2,0.4,8.6
BOL,Bolivia,2003,0.4,15.6,0,0,8.6
BIH,Bosnia and Herzegovina,2003,0,0.2,0,0.4,0.8
BWA,Botswana,2003,56.8,8.8,0.2,1.4,4.1
BRA,Brazil,2003,0.2,3,0,0,2.5
BRN,Brunei,2003,0,0,0,0,0.8
BGR,Bulgaria,2003,0,0.4,0,0,2.6
BFA,Burkina Faso,2003,5,31,115.8,3.8,8.3
BDI,Burundi,2003,9.5,36.8,38.2,0.6,12.5
KHM,Cambodia,2003,13,15.8,92.6,7.4,5.2
CMR,Cameroon,2003,1.6,4.2,0.2,4.4,2.1
CAN,Canada,2003,3.4,16,2.8,0.4,8.5
CPV,Cape Verde,2003,15.1,30.3,56.6,1,9.4
CAF,Central African Republic,2003,0,0,0,0,0.8
TCD,Chad,2003,24,31.4,99,23.4,7.5
CHL,Chile,2003,10.4,62.3,23.8,28,14.4
CHN,China,2003,0,0,0,0,1
COL,Colombia,2003,0,2.2,0,0.2,6.2
COM,Comoros,2003,0.2,2.4,0.2,0,3.2
COG,Congo,2003,0,22,15,0,8.8
