ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
MAR,Morocco,2014,4.3,8.5,0.2,0,7.2
MOZ,Mozambique,2014,0,4.3,0,0,4
MMR,Myanmar,2014,0.2,4.7,0,0,4.8
NAM,Namibia,2014,0,0,0,0,0.4
NRU,Nauru,2014,0,0,0,0,1.7
NPL,Nepal,2014,0.2,3.8,0,0,2.4
NLD,Netherlands,2014,1,22.6,21.2,0.6,12.6
NZL,New Zealand,2014,7.7,23.7,30.4,1.6,11.2
NIC,Nicaragua,2014,0,1.6,0,0,15.6
NER,Niger,2014,0,0,0,0,0.2
NGA,Nigeria,2014,0,0.2,0,0,2
NIU,Niue,2014,0,15.6,0.2,0.4,10.9
NOR,Norway,2014,0,0.4,0,0,4.6
OMN,Oman,2014,0,1.8,0,0,1.3
PAK,Pakistan,2014,1.4,8.4,14,5.4,6.9
PLW,Palau,2014,0.4,2.6,0,0,2.5
PAN,Panama,2014,0.2,1.6,0,0,3.2
PNG,Papua New Guinea,2014,0,4.6,0,0.8,5.1
PRY,Paraguay,2014,0,0,0,0,0.4
PER,Peru,2014,0,0,0,0,0.6
PHL,Philippines,2014,0,0,0,0,1.6
POL,Poland,2014,0,0,0,0,0.7
PRT,Portugal,2014,0,0.2,0,0,2.2
QAT,Qatar,2014,0,0.2,0,0,1.6
ROU,Romania,2014,0.2,0.2,0,0,1.6
RUS,Russian Federation,2014,0.8,6.8,3.6,0,7.4
RWA,Rwanda,2014,0,0.8,0,0,1.4
KNA,Saint Kitts & Nevis,2014,0,0,0,0,1.2
LCA,Saint Lucia,2014,0,0,0,0,1.6
WSM,Samoa,2014,0,1.2,0,0,2.6
SMR,San Marino,2014,0,0,0,0,1.4
STP,Sao Tome & Principe,2014,0.4,7.7,16.6,2,6.2
SAU,Saudi Arabia,2014,0,0.4,0,0,3
SEN,Senegal,2014,0.6,9.2,4,0,7.4
SRB,Serbia,2014,0,0,0,0,0.5
SYC,Seychelles,2014,0,0.2,0,0,2.3
SLE,Sierra Leone,2014,1.2,27,56.4,47.8,12.3
SGP,Singapore,2014,0,0,0,0,0.2
SVK,Slovakia,2014,0,0,0,0,0.5
SVN,Slovenia,2014,0,0,0,0,0.4
SLB,Solomon Islands,2014,0,4.3,0.6,0,4.8
SOM,Somalia,2014,1.5,42.2,3,44,16
ZAF,South Africa,2014,7.4,7.6,0,0.2,7.6
SSD,South Sudan,2014,7,16,13.6,0,9
ESP,Spain,2014,0,0,0,0,0.4
LKA,Sri Lanka,2014,0,0.4,0,0,1.3
VCT,St Vincent & the Grenadines,2014,0.6,15.8,1.6,0,12.2
SDN,Sudan,2014,0.8,0.6,0,0,4.1
SUR,Suriname,2014,14.6,13.4,0,0,10
SWZ,Swaziland,2014,0,0,0,0,0.2
SWE,Sweden,2014,0,0,0,0,0.3
CHE,Switzerland,2014,0,4,0,0.6,3.4
SYR,Syria,2014,0.4,7.4,0,0,7
TJK,Tajikistan,2014,0.2,0.8,0,0,1.6
TZA,Tanzania,2014,0,0.2,0,0,0.2
THA,Thailand,2014,0.2,10.4,1.8,0,8.6
TLS,Timor Leste,2014,2,13.6,30.4,0.8,8.8
TGO,Togo,2014,0,1.2,0,0,3.4
TON,Tonga,2014,0.6,0.2,0,0,2.9
TTO,Trinidad and Tobago,2014,0,0.8,0,0,1.4
TUN,Tunisia,2014,0,0.2,0,0,1.2
TUR,Turkey,2014,0,9.2,0,0,7.6
TKM,Turkmenistan,2014,0,2,0,0,3.5
TUV,Tuvalu,2014,6.4,9.6,9,0.2,7.8
UGA,Uganda,2014,0.4,0.4,0,0.2,1.2
UKR,Ukraine,2014,0,0.2,0,0,1.1
ARE,United Arab Emirates,2014,0,0,0,0,0.3
GBR,United Kingdom,2014,2.8,8.5,5.2,0.4,8.1
USA,United States of America,2014,0,0.2,0,0,1.7
URY,Uruguay,2014,0,0.4,0,0,1.5
UZB,Uzbekistan,2014,0,5,0,0,6
VUT,Vanuatu,2014,0,8,0.6,0.4,3.4
VEN,Venezuela,2014,0.1,1.6,0.2,0,2.6
VNM,Vietnam,2014,0.2,3,0,2.8,1.9
YEM,Yemen,2014,0,6.8,0.6,0.4,7.2
ZMB,Zambia,2014,8.5,12.2,9.6,0.2,9.4
ZWE,Zimbabwe,2014,12.7,14.1,3.4,0.6,10.1
