ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
IDN,Indonesia,2015,17,5.8,1.4,1.2,3,6.8,1.7,13.9
IRN,Iran,2015,14.7,4.2,0,0.2,0,6.1,1.2,11.9
IRQ,Iraq,2015,15.2,5.5,0,0,0.1,6.8,1,13.4
IRL,Ireland,2015,2,0.3,0,0,0,3.9,1.8,15.3
ISR,Israel,2015,1.8,0.5,0,0,0,6.6,1.2,26.1
ITA,Italy,2015,1.5,0.2,0,0,0,3.4,0.6,30.2
JAM,Jamaica,2015,6.5,1.7,0,2.9,0,4.8,0.6,13.5
JPN,Japan,2015,6.5,1.9,0,0,0,11.5,0.5,25.4
JOR,Jordan,2015,8.9,2.6,0,0,0,8.8,0.6,13.9
KAZ,Kazakhstan,2015,13.1,5.8,0,0.1,0,8.3,0.7,16.2
KEN,Kenya,2015,14.1,7.3,5.1,5.6,0.3,6.9,1.6,12
KIR,Kiribati,2015,16.7,9.5,0,0,0,7.4,1.8,20.3
PRK,Korea DPR,2015,14.9,6.1,0,0,0,7.2,2,16.3
KOR,Korea Rep,2015,2.5,0.6,0,0,0,10.3,1.5,21.3
KWT,Kuwait,2015,9.3,0.4,0,0,0,6.8,1.3,14.2
KGZ,Kyrgyzstan,2015,14,5.1,0,0.7,0,8.3,1.4,13.4
LAO,Lao PDR,2015,17.3,11.2,0.4,0.4,0.2,8.3,1.4,15.7
LVA,Latvia,2015,4.1,0.2,0,0,0,7.2,0.7,11
LBN,Lebanon,2015,5.6,2.1,0,0.1,0.9,6,0.4,16.5
LSO,Lesotho,2015,17.2,9.7,0,10.4,0.4,5.8,1.8,15.4
LBR,Liberia,2015,16.5,8.9,12.5,1.2,0.7,6.1,3,13.7
LBY,Libya,2015,7.5,1.9,0,0,0,10.6,0.7,18.3
LTU,Lithuania,2015,5.8,0.2,0,0,0,11.8,3.5,14.6
LUX,Luxembourg,2015,0,0,0,0,0,9.5,2,37.4
MKD,Macedonia,2015,5.9,1.4,0,0,0,2.4,2.6,12.6
MDG,Madagascar,2015,17.3,9.1,4.5,0.7,0.3,8.4,2.1,15.3
MWI,Malawi,2015,13.5,7.6,6.9,7.6,1.1,6.8,1.6,16.4
MYS,Malaysia,2015,4.9,1.4,0.1,0.3,0,6.2,1.1,17.1
MDV,Maldives,2015,7.3,1.8,0,0.1,0,4.9,0.8,16.8
MLI,Mali,2015,13,9.4,23.5,1.4,0.6,4.6,2,11.4
MLT,Malta,2015,2.2,0,0,0,0,1.9,4.4,17.3
MHL,Marshall Islands,2015,16.6,7.2,0,0,0,7.3,1.7,18.1
MRT,Mauritania,2015,14.6,10.7,3.8,1.1,1.4,6.2,1.5,15.9
MUS,Mauritius,2015,10.8,2.3,0,0,0,4.7,0.6,17.8
MEX,Mexico,2015,11.1,2.9,0,0.2,0,7.6,0.8,16.3
MDA,Moldova,2015,15.7,0.6,0,0.1,0,6.7,1.2,8.2
MCO,Monaco,2015,1.7,0,0,0,0,10,0.9,23.8
MNG,Mongolia,2015,14.9,6.2,0,0,0,7.9,1.1,15.8
MNE,Montenegro,2015,3.9,0,0,0,0,2,1.1,16.4
MAR,Morocco,2015,11.4,4.6,0,0.1,0,6.6,0.6,14.1
MOZ,Mozambique,2015,14.3,8.9,13.1,5,0.3,5.8,1.8,13.6
MMR,Myanmar,2015,16.2,7.1,1.1,0.6,1.9,6.8,1.9,14.6
NAM,Namibia,2015,18.6,9,0.3,4.7,0.4,7.9,1.6,17
NRU,Nauru,2015,14,6.2,0,0,0,6,1.1,15.6
NPL,Nepal,2015,14.8,5.9,0,0.3,1,6.2,1.6,10.7
NLD,Netherlands,2015,1.9,0.4,0,0,0,4.2,1,22.8
NZL,New Zealand,2015,6.4,0.8,0,0,0,14.7,1.8,14.6
NIC,Nicaragua,2015,16.2,8.1,0,0.3,0,5.5,1.5,17.1
NER,Niger,2015,20.8,11.2,10.5,0.5,0.2,6.7,4.9,14.1
NGA,Nigeria,2015,17.8,10.3,13.6,3.5,1.2,5.1,2.5,11.8
NIU,Niue,2015,15.8,2.3,0,0,0,23.3,3.4,29.5
NOR,Norway,2015,2,0.2,0,0,0,3.4,1.2,30.8
OMN,Oman,2015,6.5,1.3,0,0.2,0,8.9,0.7,21.1
PAK,Pakistan,2015,14.8,9.1,0.1,0.1,0.7,6.7,1.2,13.3
PLW,Palau,2015,7.5,1.2,0,0,0,13.5,1.4,13.1
PAN,Panama,2015,13.3,5.2,0,0.2,0,3.7,1.2,15.8
PNG,Papua New Guinea,2015,16.2,6.8,11.8,1.1,0.5,5.8,2.1,12.4
PRY,Paraguay,2015,11,6,0,0.8,0,6,1.2,11.5
PER,Peru,2015,10.3,4.9,0,0.5,0,9.2,1.5,17.8
PHL,Philippines,2015,18.6,7.7,0,0,0.3,8.8,1.7,14.1
POL,Poland,2015,4.4,0.1,0,0,0,4.9,0.8,10.5
PRT,Portugal,2015,2.1,0,0,0,0,7.4,0.9,26.2
QAT,Qatar,2015,4,0.5,0,0.2,0,10.3,0.5,19
ROU,Romania,2015,28,0.9,0,0.1,0,7.1,1.3,9.5
RUS,Russian Federation,2015,7,0.8,0,1,0,8,1.4,17.1
RWA,Rwanda,2015,13.6,7.3,3.9,0.8,0.2,8.3,1.1,15.7
KNA,Saint Kitts & Nevis,2015,0,3.3,0,0,0,6.7,3.3,15.6
