ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2008,0,30.7,0.2,3.4,13
ALB,Albania,2008,0,0.6,0,0,3.4
DZA,Algeria,2008,0,3.4,0,0.2,3.2
AND,Andorra,2008,0,0,0,0,0.4
AGO,Angola,2008,5.1,70.2,27.8,0.6,16.6
ATG,Antigua & Barbuda,2008,0,0.2,0,0,2
ARG,Argentina,2008,0,0.4,0,0,2
ARM,Armenia,2008,0.2,0.8,0,0,3.8
AUS,Australia,2008,0,0,0,0,0.8
AUT,Austria,2008,0,0,0,0,0.6
AZE,Azerbaijan,2008,0.2,6.2,0,0,4.6
BHS,Bahamas,2008,0.2,0,0,0,1.6
BHR,Bahrain,2008,0,0.2,0,0,1.6
BGD,Bangladesh,2008,0,9,0.8,2.4,6
BRB,Barbados,2008,0,0,0,0,1
BLR,Belarus,2008,0,0.2,0,0,1.2
BEL,Belgium,2008,0,0,0,0,0.8
BLZ,Belize,2008,0,2.4,0,0,3.4
BEN,Benin,2008,3.6,27.2,38.6,4,10.5
BTN,Bhutan,2008,0.8,7.6,0,0,6.5
BOL,Bolivia,2008,0.4,9,0,0,7
BIH,Bosnia and Herzegovina,2008,0,0.2,0,0.2,0.7
BWA,Botswana,2008,25.4,8,0,0.8,4.9
BRA,Brazil,2008,0,1.4,0,0,2
BRN,Brunei,2008,0,0,0,0,1
BGR,Bulgaria,2008,0,0.2,0,0,1.6
BFA,Burkina Faso,2008,3,19.6,100.2,1.6,7.4
BDI,Burundi,2008,5.8,27,17.8,0.6,12.2
KHM,Cambodia,2008,8.2,14.6,69.6,1,5.9
CMR,Cameroon,2008,0.8,3.2,0.2,1.4,2.7
CAN,Canada,2008,1.4,8.8,0.4,2.6,6.6
CPV,Cape Verde,2008,13.4,25.6,31.8,0.4,10
CAF,Central African Republic,2008,0,0,0,0,0.6
TCD,Chad,2008,16.7,30.1,79.6,2,8.6
CHL,Chile,2008,9.3,56.6,21.8,2.2,15.6
CHN,China,2008,0,0,0,0,1.1
COL,Colombia,2008,0,1.3,0,0.4,5.2
COM,Comoros,2008,0,1.2,0,0,2.8
COG,Congo,2008,0,17.4,13,0,8.2
COD,Congo DR,2008,8.6,13.4,11,0.2,7.2
COK,Cook Islands,2008,0,0.4,0,0,1.7
CRI,Costa Rica,2008,0,0.2,0,0,0.8
CIV,Cote d Ivoire,2008,0,0.2,0,0,0.7
HRV,Croatia,2008,0,0.2,0,0,1.2
CUB,Cuba,2008,0,0,0,0,0.5
CYP,Cyprus,2008,0,0,0,0,0.6
CZE,Czech Republic,2008,0,4.6,0,0,4.2
DNK,Denmark,2008,3.6,18.4,71.8,2.6,7
DJI,Djibouti,2008,0,0,0,0,0.4
DMA,Dominica,2008,6.6,16,0.2,9.8,8.2
DOM,Dominican Republic,2008,0,0,0,0,0
ECU,Ecuador,2008,2.8,3.2,0,0,3.8
EGY,Egypt,2008,0.2,2.6,0,0,4
SLV,El Salvador,2008,0,3.6,0,0.8,3.4
GNQ,Equatorial Guinea,2008,0.6,2.6,0,0,2.8
ERI,Eritrea,2008,12.6,21.9,30.8,31.2,8.8
EST,Estonia,2008,2.2,14.2,0,1.4,9.4
ETH,Ethiopia,2008,0.2,0,0,0,1.8
FSM,Federated States of Micronesia,2008,4.7,19.5,1.2,9.2,10
FJI,Fiji,2008,0.2,2,0,0,5.4
FIN,Finland,2008,0,0,0,0,0.4
FRA,France,2008,0,0.2,0,0,0.6
GAB,Gabon,2008,17.9,10,4,1.6,5.4
GMB,Gambia,2008,5.9,19.9,6.2,0.4,9.7
GEO,Georgia,2008,0.2,0.6,0,0,3.2
DEU,Germany,2008,0,0,0,0,0.5
GHA,Ghana,2008,4.4,13,25.2,0.8,7
GRC,Greece,2008,0,0,0,0,0.6
GRD,Grenada,2008,0,0,0,0,2
GTM,Guatemala,2008,0.8,7.4,0,0,6.3
GIN,Guinea,2008,4.6,23.8,48.8,2.6,9.1
GNB,Guinea-Bissau,2008,12,30.4,9,1.6,11
GUY,Guyana,2008,1.6,6,1.8,0,5.2
HTI,Haiti,2008,4.7,21.5,1.2,0,10.6
HND,Honduras,2008,1.2,4,0,0,1.8
HUN,Hungary,2008,0,0,0,0,0.7
ISL,Iceland,2008,0,0,0,0,0.2
IND,India,2008,0.6,14.4,0.8,4.6,4.6
IDN,Indonesia,2008,0.4,5.5,0.8,2,4.6
