ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2002,0,43.7,1,14.4,13.6
ALB,Albania,2002,0,1.2,0,0,4.1
DZA,Algeria,2002,0,6,0,5,4.2
AND,Andorra,2002,0,0,0,0,0.8
AGO,Angola,2002,4.6,78,54,12.6,14.2
ATG,Antigua & Barbuda,2002,0,0,0,0,1.2
ARG,Argentina,2002,0.2,1,0,0,2.8
ARM,Armenia,2002,0.2,1.6,0,0,5.1
AUS,Australia,2002,0,0,0,0,1
AUT,Austria,2002,0,0,0,0,0.8
AZE,Azerbaijan,2002,0,14.1,0,0.4,7
BHS,Bahamas,2002,0.2,0.2,0,0,2.6
BHR,Bahrain,2002,0,0,0,0,2
BGD,Bangladesh,2002,0,16.6,2.4,5.2,7.8
BRB,Barbados,2002,1.6,0,0,0,2.6
BLR,Belarus,2002,0,0.4,0,0,1.8
BEL,Belgium,2002,0,0,0,0,1
BLZ,Belize,2002,0,0.8,0,0,4.2
BEN,Benin,2002,4.2,35.8,43.2,8,10.3
BTN,Bhutan,2002,0.2,17.2,0.4,1.2,9.6
BOL,Bolivia,2002,0.2,19.8,0,0,9.4
BIH,Bosnia and Herzegovina,2002,0,0.2,0,0.2,0.7
BWA,Botswana,2002,69.1,8.6,0.2,2.2,3.8
BRA,Brazil,2002,0.2,4,0,0,2.8
BRN,Brunei,2002,0,0,0,0,0.8
BGR,Bulgaria,2002,0,0.8,0,0,2.3
BFA,Burkina Faso,2002,6.4,32,136.4,24.6,7.7
BDI,Burundi,2002,10.5,36.3,49.2,1.4,10.8
KHM,Cambodia,2002,13.8,17.8,96.4,12.4,5.3
CMR,Cameroon,2002,1.6,5.2,0,4.2,2.1
CAN,Canada,2002,4.1,24.2,3.6,1.8,10.4
CPV,Cape Verde,2002,15.7,36.7,59,0.6,10
CAF,Central African Republic,2002,0,0,0,0,1
TCD,Chad,2002,26.8,35,92.4,18.8,7.7
CHL,Chile,2002,10,68.4,24.2,26.8,14.5
CHN,China,2002,0,0.2,0,0,1.4
COL,Colombia,2002,0,2.8,0,0.2,7.4
COM,Comoros,2002,0.2,2.8,0.2,0,3.6
COG,Congo,2002,0,23.6,15.8,0,8.6
COD,Congo DR,2002,14.5,27,32.8,27.2,8.7
COK,Cook Islands,2002,0,0.8,0,0,2.4
CRI,Costa Rica,2002,0,0.4,0,0,1.2
CIV,Cote d Ivoire,2002,0,0,0,0,0.6
HRV,Croatia,2002,0,0.2,0,0,1.4
CUB,Cuba,2002,0,0,0,0,0.9
CYP,Cyprus,2002,0,0,0,0,1.1
CZE,Czech Republic,2002,0,8.6,0,0,5.6
DNK,Denmark,2002,4.7,27.2,90,35.6,7.1
DJI,Djibouti,2002,0,0,0,0,0.6
DMA,Dominica,2002,8.5,21.4,1.4,5,8.2
DOM,Dominican Republic,2002,0,0,0,0,0.4
ECU,Ecuador,2002,4.8,4.6,0,0,4
EGY,Egypt,2002,0.6,4.8,0,0,4.4
SLV,El Salvador,2002,0,6.4,0,1,3.8
GNQ,Equatorial Guinea,2002,0.8,5.2,0,0,3.4
