ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2001,0,46.3,0.4,30.2,13.6
ALB,Albania,2001,0,1.4,0,0,4.4
DZA,Algeria,2001,0,6.5,0,4.6,4.3
AND,Andorra,2001,0,0,0,0,0.8
AGO,Angola,2001,4.2,79.2,53.6,10,13.8
ATG,Antigua & Barbuda,2001,0,0,0,0,1
ARG,Argentina,2001,0,1,0,0,3.1
ARM,Armenia,2001,0.2,2,0,0,5.4
AUS,Australia,2001,0,0,0,0,1.2
AUT,Austria,2001,0,0,0,0,0.7
AZE,Azerbaijan,2001,0,16.6,0,0.2,7.6
BHS,Bahamas,2001,0.4,0.4,0,0,3.4
BHR,Bahrain,2001,0,0,0,0,3
BGD,Bangladesh,2001,0,19.2,2.4,6.2,8.3
BRB,Barbados,2001,1.4,0,0,0,1.8
BLR,Belarus,2001,0,0.4,0,0,2
BEL,Belgium,2001,0,0,0,0,1.4
BLZ,Belize,2001,0.8,2.2,0,0,4.6
BEN,Benin,2001,4.2,38.6,43,26.6,10.4
BTN,Bhutan,2001,0.2,19.4,0.4,7.2,10.1
BOL,Bolivia,2001,0.2,22.2,0,0,9.8
BIH,Bosnia and Herzegovina,2001,0,0.2,0,0.2,0.6
BWA,Botswana,2001,74.4,8.6,0.4,4.6,3.6
BRA,Brazil,2001,0.2,4.2,0,0,2.8
BRN,Brunei,2001,0,0,0,0,1
BGR,Bulgaria,2001,0,0.4,0,0,1.9
BFA,Burkina Faso,2001,7.2,32,143.2,25,7.4
BDI,Burundi,2001,10.7,39.4,57.2,17,11.1
KHM,Cambodia,2001,14,19,96.2,12.4,5.4
CMR,Cameroon,2001,1.6,5.8,0,4.2,2.3
CAN,Canada,2001,4.3,29.8,5.4,5.8,11.4
CPV,Cape Verde,2001,15.8,39.7,58.2,21.6,10.1
CAF,Central African Republic,2001,0,0,0,0,1
TCD,Chad,2001,27.8,35.9,87.4,20.4,7.7
CHL,Chile,2001,9.6,67.7,23,30.8,13.8
CHN,China,2001,0,0.2,0,0,1.4
COL,Colombia,2001,0,3,0,0.2,8.4
COM,Comoros,2001,0.2,2,0.4,0,3.4
COG,Congo,2001,0,24,16.2,0,8.6
COD,Congo DR,2001,15.2,28.6,34,21.6,8.7
COK,Cook Islands,2001,0,0.8,0,0,2.4
CRI,Costa Rica,2001,0,0.6,0,0,1.4
CIV,Cote d Ivoire,2001,0,0,0,0,0.8
HRV,Croatia,2001,0,0.2,0,0,1.6
CUB,Cuba,2001,0,0,0,0,1
CYP,Cyprus,2001,0,0,0,0,0.9
CZE,Czech Republic,2001,0,11.3,0,0,6.4
DNK,Denmark,2001,4.8,29.6,90.6,30.2,7.2
DJI,Djibouti,2001,0,0.2,0,0,0.4
DMA,Dominica,2001,8.5,23,1.4,7.8,8.3
DOM,Dominican Republic,2001,0,0,0,0,0.4
ECU,Ecuador,2001,5,5.1,0,0,4
EGY,Egypt,2001,0.6,5.2,0,0,4.4
SLV,El Salvador,2001,0,7,0,2.4,3.9
GNQ,Equatorial Guinea,2001,0.8,5.8,0,0,3.8
ERI,Eritrea,2001,4.6,36.2,60.4,9.4,9.6
EST,Estonia,2001,3.9,22.2,1.6,14.6,9.7
ETH,Ethiopia,2001,0,0.2,0,0,2.6
FSM,Federated States of Micronesia,2001,9.7,41.4,6.6,5.6,11.8
FJI,Fiji,2001,0,2.2,0,0.4,3.7
FIN,Finland,2001,0,0,0,0,0.4
FRA,France,2001,0,0.2,0,0,1
GAB,Gabon,2001,20.2,13,13,71.6,5
GMB,Gambia,2001,4.5,32.4,15.4,5,10.5
GEO,Georgia,2001,0,2.2,0,0,6
DEU,Germany,2001,0,0,0,0,0.7
GHA,Ghana,2001,7,16,42.8,15.2,6.2
