ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2007,0,32.4,0.2,2.8,13.2
ALB,Albania,2007,0,0.6,0,0,3.6
DZA,Algeria,2007,0,3.4,0,0.2,3.2
AND,Andorra,2007,0,0,0,0,0.4
AGO,Angola,2007,5.1,73,34,0.4,16.4
ATG,Antigua & Barbuda,2007,0,0.4,0,0,1.8
ARG,Argentina,2007,0,0.4,0,0,2.4
ARM,Armenia,2007,0.2,0.8,0,0,4
AUS,Australia,2007,0,0,0,0,1
AUT,Austria,2007,0,0,0,0,0.6
AZE,Azerbaijan,2007,0.2,6.9,0,0,4.9
BHS,Bahamas,2007,0,0,0,0,2
BHR,Bahrain,2007,0,0.2,0,0,1.4
BGD,Bangladesh,2007,0,10.2,0.4,1,6.5
BRB,Barbados,2007,0,0,0,0,0.9
BLR,Belarus,2007,0,0.2,0,0,1.4
BEL,Belgium,2007,0,0,0,0,0.8
BLZ,Belize,2007,1.2,3,0,0,3
BEN,Benin,2007,4,28,43,1.8,10.4
BTN,Bhutan,2007,0.6,8.8,0,0,7
BOL,Bolivia,2007,0.4,11,0,0,7.2
BIH,Bosnia and Herzegovina,2007,0,0.2,0,0.2,0.8
BWA,Botswana,2007,26.7,8.2,0,0.6,4.8
BRA,Brazil,2007,0,1.8,0,0,2.2
BRN,Brunei,2007,0,0,0,0,0.8
BGR,Bulgaria,2007,0,0.2,0,0,1.6
BFA,Burkina Faso,2007,3.3,23.4,103.8,2.8,8
BDI,Burundi,2007,6.7,30,20.8,0.2,12.6
KHM,Cambodia,2007,10.6,14.8,78.4,0.6,5.6
CMR,Cameroon,2007,1.2,3.4,0.2,1.2,2.5
CAN,Canada,2007,1.8,10.2,0.6,0.6,7.2
CPV,Cape Verde,2007,14,26,39.2,0.6,9.6
CAF,Central African Republic,2007,0,0,0,0,0.7
TCD,Chad,2007,18,30.2,91.2,1.6,8.3
CHL,Chile,2007,9.8,56.4,21.8,1.2,14.8
CHN,China,2007,0,0,0,0,0.8
COL,Colombia,2007,0,1.4,0,0.4,5.4
COM,Comoros,2007,0.2,1.8,0.2,0,3
COG,Congo,2007,0,18.5,13.6,0,8.4
COD,Congo DR,2007,9.9,15.4,13.8,2,7.7
COK,Cook Islands,2007,0,0.4,0,0,1.9
CRI,Costa Rica,2007,0,0.4,0,0,1
CIV,Cote d Ivoire,2007,0,0,0,0,1
HRV,Croatia,2007,0,0.2,0,0,1
CUB,Cuba,2007,0,0,0,0,0.6
CYP,Cyprus,2007,0,0,0,0,0.8
CZE,Czech Republic,2007,0,4.7,0,0,4.1
DNK,Denmark,2007,3.8,18.6,79.6,5.6,6.6
DJI,Djibouti,2007,0,0,0,0,0.4
DMA,Dominica,2007,6.9,15.9,0.2,2.4,7.8
DOM,Dominican Republic,2007,0,0,0,0,0
