ISO,Country,Year,HIV,Diarrhoeal,Malaria,Measles,Injuries
AFG,Afghanistan,2006,0,34.5,0.2,6.4,13.4
ALB,Albania,2006,0,0.8,0,0,3.6
DZA,Algeria,2006,0,3.9,0,0.2,3.4
AND,Andorra,2006,0,0,0,0,0.4
AGO,Angola,2006,5,69.6,38,1.6,14.9
ATG,Antigua & Barbuda,2006,0,0.2,0,0,1.6
ARG,Argentina,2006,0.2,0.6,0,0,2.5
ARM,Armenia,2006,0.2,1,0,0,4.1
AUS,Australia,2006,0,0,0,0,1
AUT,Austria,2006,0,0,0,0,0.7
AZE,Azerbaijan,2006,0.2,7.8,0,0.2,5.2
BHS,Bahamas,2006,0.2,0,0,0,2.6
BHR,Bahrain,2006,0,0.2,0,0,1.5
BGD,Bangladesh,2006,0,11.4,0.4,8.6,6.9
BRB,Barbados,2006,0,0.4,0,0,1.5
BLR,Belarus,2006,0,0.2,0,0,1.5
BEL,Belgium,2006,0,0,0,0,0.8
BLZ,Belize,2006,1.2,2.8,0,0,5.2
BEN,Benin,2006,4,29,46.2,0.8,10.2
BTN,Bhutan,2006,0.6,10,0.2,0.4,7.5
BOL,Bolivia,2006,0.4,12.2,0,0,7.7
BIH,Bosnia and Herzegovina,2006,0,0.2,0,0.2,0.8
BWA,Botswana,2006,28.7,8.4,0.2,0.4,4.6
BRA,Brazil,2006,0.2,2.4,0,0,2.2
BRN,Brunei,2006,0,0,0,0,0.8
BGR,Bulgaria,2006,0,0.4,0,0,1.3
BFA,Burkina Faso,2006,3.9,27.2,106.6,3,8.6
BDI,Burundi,2006,7.6,32.7,24.8,1,12.7
KHM,Cambodia,2006,11.6,14.9,83.8,0.2,5.4
CMR,Cameroon,2006,1.2,3.6,0.6,1.2,2.4
CAN,Canada,2006,2.2,11.8,1.2,0.6,7.6
CPV,Cape Verde,2006,14.4,27.2,47.2,1.2,9.5
CAF,Central African Republic,2006,0,0,0,0,0.7
TCD,Chad,2006,20,30,97.8,1,7.8
CHL,Chile,2006,10.2,60.4,23.8,4.4,15.2
CHN,China,2006,0,0,0,0,1.1
COL,Colombia,2006,0,1.6,0,0.2,5.6
COM,Comoros,2006,0.2,1.6,0.2,0,3
COG,Congo,2006,0,19.8,14,0,8.6
COD,Congo DR,2006,11,17.6,17.6,2,8
COK,Cook Islands,2006,0,0.4,0,0,1.9
CRI,Costa Rica,2006,0,0.2,0,0,0.6
CIV,Cote d Ivoire,2006,0,0,0,0,0.9
HRV,Croatia,2006,0,0.2,0,0,1.2
CUB,Cuba,2006,0,0,0,0,0.6
CYP,Cyprus,2006,0,0,0,0,1
CZE,Czech Republic,2006,0,4.7,0,0,4
DNK,Denmark,2006,3.9,19.7,86.8,9,6.6
DJI,Djibouti,2006,0,0,0,0,0.4
DMA,Dominica,2006,7.3,16.6,0.4,3.2,7.7
DOM,Dominican Republic,2006,0,0,0,0,0
ECU,Ecuador,2006,3.6,3.6,0,0,3.9
EGY,Egypt,2006,0.6,3,0,0,4
SLV,El Salvador,2006,0,4.2,0,0.6,3.3
GNQ,Equatorial Guinea,2006,0.4,3.2,0,0,3
ERI,Eritrea,2006,10.7,22.2,53.4,9.8,8
EST,Estonia,2006,2.8,14.4,0.2,5.6,8.6
ETH,Ethiopia,2006,0,0,0,0,2
FSM,Federated States of Micronesia,2006,6.5,24.7,2.6,11,10.6
FJI,Fiji,2006,0.2,1.8,0,0.8,4.6
FIN,Finland,2006,0,0.2,0,0,0.5
FRA,France,2006,0,0,0,0,0.6
GAB,Gabon,2006,21.4,11.5,4.8,5,5.6
GMB,Gambia,2006,6,23.2,7.4,0.8,10.1
GEO,Georgia,2006,0.2,0.8,0,0,3.9
DEU,Germany,2006,0,0,0,0,0.6
GHA,Ghana,2006,5.8,14.6,27.6,1.6,7.2
GRC,Greece,2006,0,0,0,0,0.4
GRD,Grenada,2006,0,0.4,0,0,3
GTM,Guatemala,2006,0.8,8.6,0,0,6.7
GIN,Guinea,2006,5.2,28,55.2,3.6,9.4
GNB,Guinea-Bissau,2006,11.2,37.2,11.2,4,11.6
GUY,Guyana,2006,2.2,9.8,3.6,0,7.8
HTI,Haiti,2006,6.5,24,1.2,0,10.8
HND,Honduras,2006,1.6,4.4,0,0,1.8
HUN,Hungary,2006,0,0,0,0,1.2
ISL,Iceland,2006,0,0,0,0,0.2
IND,India,2006,0.6,16.6,0.6,6,4.8
IDN,Indonesia,2006,0.2,6.6,0.8,10.8,5.1
IRN,Iran,2006,0,2.7,0,0,2.7
IRQ,Iraq,2006,0,5.9,0,0,4.9
IRL,Ireland,2006,0,0,0,0,0.4
ISR,Israel,2006,0,0,0,0,0.8
ITA,Italy,2006,0,0,0,0,0.4
JAM,Jamaica,2006,2.9,0.6,0,0,1.5
JPN,Japan,2006,0,0,0,0,0.8
JOR,Jordan,2006,0,1.4,0,0,4.2
KAZ,Kazakhstan,2006,0.2,4.1,0,0,3.7
KEN,Kenya,2006,20.6,15.7,6.6,0.6,8.2
KIR,Kiribati,2006,0,14.5,0,1.8,8
PRK,North Korea,2006,0,0,0,0,1.2
KOR,South Korea,2006,0.2,5.3,0,0,5
KWT,Kuwait,2006,0.4,24.9,0.4,12.2,11.4
KGZ,Kyrgyzstan,2006,0,0,0,0,2
LAO,Lao,2006,0,1,0,0.2,2
LVA,Latvia,2006,68.1,26,0,1,9.2
LBN,Lebanon,2006,5.9,24.2,46.6,1.8,8.7
